Nome,Plataforma Principal,Username,URL,Seguidores,Taxa de Engajamento (%),Média de Likes,Verificado,Bio,Palavra-chave Fonte,Data Prospecção,Notas
ComidasSaudaveis,tiktok,comidas_saudaveiss_,https://www.tiktok.com/@comidas_saudaveiss_,247,100,296,Não,"Receitas, dicas e inspiração para uma vida mais saudável e equilibrada 🍎🥗",vida saudável,2026-01-17T08:36:33.190980,
Simplifica,tiktok,yasgui.shop,https://www.tiktok.com/@yasgui.shop,10200,100,35966,Não,Produtos de qualidade!,vida saudável,2026-01-17T08:36:33.191503,
аминуля,tiktok,aminulkins,https://www.tiktok.com/@aminulkins,81300,100,240625,Não,Click the link below to know what help me to loose weight👇,body transformation,2026-01-17T08:36:33.191797,
Alyne,tiktok,a.lynearrs,https://www.tiktok.com/@a.lynearrs,51000,80.14,40871,Não,Dicas úteis e saudáveis 😄🇧🇷,vida saudável,2026-01-17T08:36:33.192217,
Weight Loss Keto Coach,tiktok,weightloss.keto.coach,https://www.tiktok.com/@weightloss.keto.coach,78,44.93,35,Não,21 LBS in 30 DAYS. Real Success Reviews💬 DM📩 me to get Keto Plan today🧑🏻‍⚕️,obesity transformation,2026-01-17T08:36:33.192531,
Masha Jones,tiktok,mbosfit,https://www.tiktok.com/@mbosfit,80400,36.7,29508,Não,"Psalm 91
-200lb down from my highest weight :)",body transformation,2026-01-17T08:36:33.192971,
Saúde360,tiktok,360saude,https://www.tiktok.com/@360saude,1424,34.42,490,Não,"Saúde, bem-estar e energia todos os dias.
Dicas simples para uma vida mais leve.  🌿✨",vida saudável,2026-01-17T08:36:33.193299,
Pop curioso,tiktok,pop.curioso2,https://www.tiktok.com/@pop.curioso2,2837,26.51,752,Não,"👀 O lado secreto da fama
⭐ Curiosidades dos famosos
📲 Conteúdo diário",antes e depois,2026-01-17T08:36:33.193569,
Seque com Saúde💪🏻✨😍,tiktok,sequecomsaude2,https://www.tiktok.com/@sequecomsaude2,67,25.53,17,Não,"🍎 Emagreça com saúde e prazer!
💪 Diga adeus ao efeito sanfona
📘 ""Seque com Saúde!”
Comece hoje sua t",vida saudável,2026-01-17T08:36:33.194218,
Forward Medicine🧬,tiktok,forwardmedicine,https://www.tiktok.com/@forwardmedicine,481700,22.84,110000,Não,"Bridging the gap between healthcare professionals, patients, caregivers & advocates. ❤️🩺 Education, ",obesity transformation,2026-01-17T08:36:33.194851,
richardzoumalan.md,tiktok,richardzoumalan,https://www.tiktok.com/@richardzoumalan,2000000,22.76,455244,Sim,"Art that Breathes 
More on my IG",antes e depois,2026-01-17T08:36:33.195214,
SoldatVk,tiktok,soldat_vk,https://www.tiktok.com/@soldat_vk,14900,17.25,2570,Não,animações furiosas 😁,vida saudável,2026-01-17T08:36:33.195521,
Seekah Lytess,tiktok,seekahlytess,https://www.tiktok.com/@seekahlytess,119400,15.91,19000,Não,Message me privately for prices on personalised songs catered to you!,body transformation,2026-01-17T08:36:33.195818,
Fit Dicas Deliciosas,tiktok,fitdicasdeliciosas,https://www.tiktok.com/@fitdicasdeliciosas,1332,14.88,198,Não,Dicas e receitas fitness deliciosas para transformar sua alimentação com saúde🥗,vida saudável,2026-01-17T08:36:33.196142,
Coach Alex,tiktok,alexreedcoaching,https://www.tiktok.com/@alexreedcoaching,13200,13.48,1780,Não,Click below for coaching 👇,obesity transformation,2026-01-17T08:36:33.196517,
my600lblifewess,tiktok,my600lblifewess,https://www.tiktok.com/@my600lblifewess,3803,12.96,492,Não,Cast member My 600 LB Life S11 Ep 3,obesity transformation,2026-01-17T08:36:33.196885,
SS7,tiktok,ss7edits_,https://www.tiktok.com/@ss7edits_,116100,12.76,14814,Não,"follow for more 
☝️☝️☝️☝️
CRA58EJE",antes e depois,2026-01-17T08:36:33.197271,
bigdoggmerdo,tiktok,bigdoggmerdo,https://www.tiktok.com/@bigdoggmerdo,84300,11.86,10000,Não,"📩 Business: bigdoggmerdo@hotmail.com

FAT TO FIT PROGRAM⬇️",body transformation,2026-01-17T08:36:33.197746,
Farma_Oz,tiktok,farma_oz,https://www.tiktok.com/@farma_oz,194,11.33,21,Não,"Ciência + farmácia + pele saudável
suplementos, rotina de skincare",vida saudável,2026-01-17T08:36:33.198129,
Carolzinha 🩻,tiktok,carolzinha_saad,https://www.tiktok.com/@carolzinha_saad,27800,10.45,2904,Não,"OI MIGUXASS
A mais legal 🤠
""daily"": @carolixoslife
💄🛍️💋
⬇️TUDO AQUI⬇️",antes e depois,2026-01-17T08:36:33.198470,
